boroct2020,geoid,borough,nta,tract,risk_score,priority_score,archetype,units_res,at_risk_units,estimated_protected_units_per_1m,evictions,displacement_pressure_raw,market_heat_raw,stock_vuln_raw,early_risk_score
1013900,36061013900,Manhattan,Hell's Kitchen,139,86.7,100.0,Preserve,7415,5665.0,340.0,109.0,14.699932569116655,128599.92892784896,100.49668874172198,84.1
1015700,36061015700,Manhattan,Upper West Side-Lincoln Square,157,66.1,100.0,Preserve,7410,7323.0,439.0,44.0,5.937921727395412,174960.8338731444,129.73489932885923,70.7
1011000,36061011000,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,110,90.2,99.9,Preserve,5386,5105.0,306.0,77.0,14.296323802450798,159449.34441143705,115.39726027397273,90.5
1013400,36061013400,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,134,70.1,99.9,Preserve,7825,6678.0,400.0,59.0,7.539936102236422,150836.576485623,105.27490039840632,76.3
1018900,36061018900,Manhattan,Upper West Side-Manhattan Valley,189,91.1,99.8,Preserve,5304,4839.0,290.0,100.0,18.85369532428356,67610.50546757164,110.49704142011842,91.5
1013800,36061013800,Manhattan,Upper East Side-Yorkville,138,67.7,99.8,Preserve,8658,6455.0,387.0,68.0,7.854007854007854,136015.09274659274,99.72142857142876,68.3
1024500,36061024500,Manhattan,Washington Heights (South),245,93.6,99.7,Preserve,5162,4610.0,276.0,271.0,52.499031383184814,42374.38066640837,108.71028037383189,91.8
1003800,36061003800,Manhattan,East Village,38,80.1,99.7,Preserve,5545,5413.0,324.0,51.0,9.197475202885483,138174.10333633903,123.4610951008649,75.3
1003200,36061003200,Manhattan,East Village,32,87.3,99.6,Preserve,5066,4879.0,292.0,63.0,12.435846821950257,126929.33241215949,119.46718146718149,85.9
1017300,36061017300,Manhattan,Upper West Side (Central),173,80.8,99.6,Preserve,5296,5217.0,312.0,48.0,9.06344410876133,167508.33459214502,128.17664670658678,86.1
1017900,36061017900,Manhattan,Upper West Side (Central),179,94.4,99.6,Preserve,4735,4543.0,271.0,87.0,18.373812038014783,137996.70559662092,118.34228187919484,96.7
1009800,36061009800,Manhattan,East Midtown-Turtle Bay,98,78.8,99.5,Preserve,6363,5336.0,319.0,61.0,9.586672953009588,173353.8818167531,104.1621621621623,78.7
